Date,OPEN,CLOSE,HIGH,LOW,MAx3,MAx2,MAx1,Ret,LN
09/10/2012,1436.75,1426.25,1438.00,1425.75,1408.38,1388.89,1343.25,0.99166,-0.008378475
09/11/2012,1425.50,1430.50,1437.50,1421.50,1410.39,1390.52,1344.12,1.00298,0.002975411
09/12/2012,1430.50,1438.50,1440.25,1428.50,1412.95,1392.40,1345.06,1.00559,0.005576871
09/13/2012,1438.25,1457.50,1464.25,1435.00,1417.00,1394.96,1346.18,1.01321,0.013121735
09/14/2012,1456.50,1466.25,1474.75,1456.50,1421.48,1397.75,1347.37,1.006,0.005985482
09/17/2012,1465.75,1460.75,1465.75,1457.50,1425.05,1400.22,1348.50,0.99625,-0.003758119
09/18/2012,1460.50,1459.25,1463.25,1455.75,1428.16,1402.54,1349.60,0.99897,-0.001027397
09/19/2012,1460.00,1459.75,1465.50,1457.75,1431.03,1404.78,1350.70,1.00034,0.000342583
09/20/2012,1459.75,1460.75,1461.75,1450.00,1433.73,1406.98,1351.79,1.00069,0.000684814
09/21/2012,1460.75,1468.25,1469.25,1460.25,1436.87,1409.38,1352.95,1.00513,0.005121213
09/24/2012,1450.25,1451.50,1454.50,1444.75,1438.20,1411.03,1353.93,0.98859,-0.011473711
09/25/2012,1451.75,1436.75,1457.00,1435.00,1438.07,1412.04,1354.76,0.98984,-0.010213886
09/26/2012,1436.75,1427.25,1439.75,1424.00,1437.08,1412.64,1355.48,0.99339,-0.006634103
09/27/2012,1427.50,1441.25,1444.50,1427.50,1437.46,1413.76,1356.33,1.00981,0.009761277
09/28/2012,1441.00,1434.25,1443.50,1429.00,1437.17,1414.56,1357.11,0.99514,-0.004868728
10/01/2012,1432.75,1436.75,1451.50,1427.75,1437.13,1415.43,1357.90,1.00174,0.001741554
10/02/2012,1436.50,1440.50,1446.00,1432.25,1437.44,1416.41,1358.72,1.00261,0.002606657
10/03/2012,1440.25,1444.50,1448.75,1435.50,1438.08,1417.52,1359.57,1.00278,0.002772965
10/04/2012,1444.00,1455.75,1457.75,1444.00,1439.69,1419.02,1360.53,1.00779,0.007757991
10/05/2012,1455.75,1455.50,1466.00,1451.25,1441.12,1420.45,1361.48,0.99983,-0.000171748
10/08/2012,1457.25,1450.00,1457.25,1447.50,1441.93,1421.61,1362.36,0.99622,-0.003785928
10/09/2012,1449.75,1436.25,1454.50,1435.25,1441.41,1422.18,1363.09,0.99052,-0.009528006
10/10/2012,1437.00,1426.00,1437.75,1425.00,1440.01,1422.33,1363.72,0.99286,-0.007162228
10/11/2012,1425.75,1428.50,1439.25,1421.25,1438.97,1422.57,1364.36,1.00175,0.001751621
10/12/2012,1428.25,1421.75,1434.50,1420.00,1437.40,1422.54,1364.93,0.99527,-0.004736435
10/15/2012,1423.50,1436.25,1436.50,1416.50,1437.30,1423.08,1365.64,1.0102,0.010147043
10/16/2012,1436.00,1449.50,1451.50,1434.50,1438.41,1424.11,1366.48,1.00923,0.009183119
10/17/2012,1449.25,1457.00,1457.75,1446.25,1440.10,1425.40,1367.38,1.00517,0.005160858
10/18/2012,1457.00,1451.25,1459.75,1447.75,1441.11,1426.42,1368.21,0.99605,-0.003954273
10/19/2012,1451.25,1423.75,1453.50,1423.50,1439.53,1426.31,1368.77,0.98105,-0.019131018
10/22/2012,1424.50,1430.50,1431.25,1416.75,1438.71,1426.48,1369.38,1.00474,0.004729798
10/23/2012,1430.75,1406.25,1433.25,1402.00,1435.76,1425.68,1369.75,0.98305,-0.017097447
10/24/2012,1406.50,1405.75,1415.00,1401.75,1433.03,1424.90,1370.11,0.99964,-0.000355619
10/25/2012,1406.25,1408.75,1416.75,1399.50,1430.82,1424.27,1370.49,1.00213,0.002131818
10/26/2012,1409.75,1407.50,1412.50,1394.50,1428.70,1423.61,1370.86,0.99911,-0.000887705
10/29/2012,1406.25,1402.75,1407.00,1397.00,1426.34,1422.79,1371.18,0.99663,-0.003380485
10/30/2012,1399.25,1411.25,1412.25,1393.00,1424.97,1422.34,1371.57,1.00606,0.006041241
10/31/2012,1412.50,1401.75,1418.25,1400.50,1422.86,1421.53,1371.87,0.99327,-0.00675438
11/01/2012,1402.00,1423.50,1425.00,1398.50,1422.92,1421.61,1372.39,1.01552,0.015397172
11/02/2012,1423.25,1405.50,1431.50,1405.00,1421.34,1420.98,1372.72,0.98736,-0.012725516
11/05/2012,1402.75,1411.75,1415.50,1402.50,1420.46,1420.62,1373.11,1.00445,0.004436958
11/06/2012,1411.00,1425.50,1429.25,1409.75,1420.92,1420.81,1373.63,1.00974,0.00969256
11/07/2012,1425.00,1389.75,1431.75,1384.00,1418.09,1419.59,1373.79,0.97492,-0.025398755
11/08/2012,1390.25,1375.00,1397.50,1372.50,1414.17,1417.84,1373.80,0.98939,-0.010670144
11/09/2012,1375.75,1376.00,1388.00,1363.50,1410.70,1416.20,1373.82,1.00073,0.000727008
11/12/2012,1375.25,1378.25,1381.75,1372.50,1407.75,1414.71,1373.87,1.00164,0.001633839
11/13/2012,1378.25,1371.75,1386.25,1365.75,1404.48,1413.03,1373.84,0.99528,-0.004727282
11/14/2012,1373.25,1353.25,1381.75,1349.50,1399.82,1410.68,1373.64,0.98651,-0.01357819
11/15/2012,1354.00,1351.50,1359.00,1345.25,1395.43,1408.36,1373.42,0.99871,-0.00129402
11/16/2012,1351.50,1360.50,1360.50,1340.25,1392.25,1406.48,1373.29,1.00666,0.006637193
11/19/2012,1360.75,1381.00,1385.75,1360.25,1391.23,1405.49,1373.37,1.01507,0.014955595
11/20/2012,1380.00,1386.00,1387.50,1374.00,1390.75,1404.72,1373.49,1.00362,0.003614026
11/21/2012,1386.00,1389.25,1389.75,1377.00,1390.62,1404.11,1373.65,1.00234,0.002342132
11/22/2012,1389.00,1391.50,1393.75,1388.75,1390.70,1403.62,1373.83,1.00162,0.001618269
11/23/2012,1391.75,1404.75,1407.50,1387.25,1391.98,1403.66,1374.14,1.00952,0.009477049
11/26/2012,1403.25,1405.00,1405.00,1395.00,1393.16,1403.72,1374.44,1.00018,0.000177952
11/27/2012,1404.00,1397.75,1407.75,1395.50,1393.58,1403.48,1374.67,0.99484,-0.005173502
11/28/2012,1397.50,1406.50,1408.75,1383.00,1394.75,1403.60,1374.99,1.00626,0.006240548
11/29/2012,1406.75,1412.25,1418.50,1404.50,1396.34,1403.94,1375.36,1.00409,0.004079828
11/30/2012,1411.50,1415.75,1419.50,1409.75,1398.11,1404.40,1375.76,1.00248,0.002475249
12/03/2012,1413.25,1405.75,1424.00,1404.50,1398.80,1404.46,1376.06,0.99294,-0.007088458
12/04/2012,1406.00,1403.25,1411.75,1401.50,1399.21,1404.41,1376.33,0.99822,-0.001779993
12/05/2012,1402.75,1406.75,1414.75,1396.75,1399.89,1404.50,1376.64,1.00249,0.002491104
12/06/2012,1406.50,1412.75,1413.50,1404.00,1401.06,1404.82,1376.99,1.00427,0.00425608
12/07/2012,1412.25,1417.25,1422.25,1408.50,1402.53,1405.31,1377.40,1.00319,0.003180215
12/10/2012,1416.00,1417.25,1421.00,1410.75,1403.87,1405.78,1377.79,1,0
12/11/2012,1417.50,1432.00,1434.25,1415.00,1406.43,1406.81,1378.33,1.01041,0.010353694
12/12/2012,1431.25,1426.00,1438.75,1425.75,1408.21,1407.56,1378.81,0.99581,-0.004198747
12/13/2012,1425.75,1417.50,1431.50,1415.75,1409.05,1407.95,1379.19,0.99404,-0.005978565
12/14/2012,1416.75,1416.50,1425.50,1411.50,1409.73,1408.29,1379.56,0.99929,-0.000705716
12/17/2012,1421.25,1433.25,1434.25,1415.00,1411.87,1409.26,1380.10,1.01182,0.011755553
12/18/2012,1433.75,1445.25,1448.25,1430.50,1414.90,1410.68,1380.74,1.00837,0.008337724
12/19/2012,1445.00,1433.25,1450.50,1432.75,1416.57,1411.56,1381.27,0.9917,-0.008337724
12/20/2012,1433.50,1446.00,1446.25,1431.75,1419.25,1412.91,1381.91,1.0089,0.008856531
12/21/2012,1445.50,1424.75,1446.50,1393.00,1419.75,1413.38,1382.34,0.9853,-0.014804764
12/24/2012,1424.25,1419.00,1424.50,1417.50,1419.68,1413.60,1382.70,0.99596,-0.004043962
12/26/2012,1424.00,1413.00,1425.50,1410.75,1419.07,1413.57,1383.00,0.99577,-0.004237294
12/27/2012,1413.25,1413.75,1418.50,1396.00,1418.59,1413.58,1383.31,1.00053,0.000530645
12/28/2012,1413.25,1386.75,1416.75,1382.25,1415.69,1412.53,1383.34,0.9809,-0.019282868
